preview_id,reference_id,AI Preview,Benchmark Preview,KEEP,MAYBE,REJECT,Score (1-10),Similarity,Naturalness,Pronunciation,Emotion,Noise,Best Variant,Rank,Confidence,Note
preview_001,000098_004_001,pair_001/ai_preview_v1.wav,pair_001/benchmark_preview_v1.wav,,X,,5.768589743589743,5.7615384615384615,5.574358974358974,6.717948717948719,5.294871794871795,5.461538461538463,Benchmark Preview,8,THẤP,Hai biến thể gần như hòa. Benchmark nhỉnh nhẹ tổng thể; AI nhỉnh hơn speaker similarity. Cần nghe tai người để chốt.
preview_002,000070_005_002,pair_002/ai_preview_v1.wav,pair_002/benchmark_preview_v1.wav,,,X,0.0,1.694871794871795,3.974358974358975,0.01282051282051282,1.641025641025641,3.948717948717949,AI Preview,20,THẤP,"REJECT bắt buộc: transcript 233 ký tự nhưng reference chỉ ~5,8 giây; hai preview ~12 giây. Đây là mismatch alignment/metadata."
preview_003,000076_016_001,pair_003/ai_preview_v1.wav,pair_003/benchmark_preview_v1.wav,,X,,6.06525641025641,7.343589743589743,7.2846153846153845,3.025641025641026,4.833333333333333,4.948717948717949,AI Preview,6,VỪA,AI có speaker/timbre và naturalness tốt; content/prosody chỉ mức trung bình. Ưu tiên nghe kỹ tên riêng.
preview_004,000119_030_001,pair_004/ai_preview_v1.wav,pair_004/benchmark_preview_v1.wav,,X,,5.462307692307692,5.78974358974359,5.533333333333332,5.487179487179486,5.153846153846153,3.4615384615384617,Benchmark Preview,11,VỪA,"Benchmark cân bằng hơn AI, nhưng noise proxy thấp. Giữ ở nhóm review."
preview_005,000061_024_001,pair_005/ai_preview_v1.wav,pair_005/benchmark_preview_v1.wav,,X,,5.6224358974358974,6.0256410256410255,5.628205128205129,4.846153846153846,6.410256410256411,6.153846153846153,Benchmark Preview,9,CAO,"Benchmark tốt hơn rõ, nhưng transcript bắt đầu bằng chuỗi dấu ngoặc kép lỗi. Normalize rồi regenerate."
preview_006,000080_029_001,pair_006/ai_preview_v1.wav,pair_006/benchmark_preview_v1.wav,,X,,5.510256410256411,5.1000000000000005,5.097435897435898,7.038461538461539,5.705128205128205,5.076923076923077,Benchmark Preview,10,VỪA,Benchmark có content/pronunciation proxy tốt hơn; AI có prosody khá. Ưu tiên Benchmark.
preview_007,000096_016_001,pair_007/ai_preview_v1.wav,pair_007/benchmark_preview_v1.wav,,,X,4.878269230769232,5.3358974358974365,4.732051282051282,5.666666666666667,3.756410256410257,3.3205128205128203,Benchmark Preview,13,VỪA,"Benchmark nhỉnh hơn, nhưng prosody thấp. Nên thay candidate nếu tai người cũng thấy phẳng/khác nhịp."
preview_008,000063_023_001,pair_008/ai_preview_v1.wav,pair_008/benchmark_preview_v1.wav,,,X,3.5944871794871793,2.9025641025641025,3.9179487179487187,4.910256410256411,4.0256410256410255,3.1794871794871797,AI Preview,19,CAO,"AI tốt hơn Benchmark, nhưng cả hai nằm nhóm thấp. Ưu tiên thay bằng candidate Top50 khác."
preview_009,000097_022_001,pair_009/ai_preview_v1.wav,pair_009/benchmark_preview_v1.wav,X,,,7.1253205128205135,8.030769230769232,6.375641025641026,6.217948717948719,6.987179487179487,4.5,Benchmark Preview,3,THẤP,Hai biến thể đều mạnh và gần hòa: AI nhỉnh similarity; Benchmark nhỉnh prosody/naturalness.
preview_010,000043_012_001,pair_010/ai_preview_v1.wav,pair_010/benchmark_preview_v1.wav,,X,,5.336923076923076,5.3,5.333333333333334,7.653846153846155,4.448717948717949,7.282051282051283,AI Preview,12,CAO,"AI tốt hơn rõ, nhưng transcript có dấu ngoặc kép mở không đóng. Normalize rồi regenerate."
preview_011,000078_032_001,pair_011/ai_preview_v1.wav,pair_011/benchmark_preview_v1.wav,,,X,4.149615384615385,4.128205128205128,3.4589743589743582,4.051282051282051,4.782051282051283,4.179487179487179,AI Preview,16,THẤP,Hai biến thể dưới trung bình; câu kết thúc bằng dấu ba chấm/đoạn thoại dở dang làm đánh giá prosody kém ổn định.
preview_012,000052_023_001,pair_012/ai_preview_v1.wav,pair_012/benchmark_preview_v1.wav,,X,,3.7699999999999996,4.056410256410256,2.9,4.166666666666666,4.666666666666666,4.0256410256410255,Benchmark Preview,18,CAO,"Benchmark tốt hơn, nhưng transcript có dấu ngoặc kép mở không đóng và tổng điểm thấp. Regenerate sau normalize rồi mới quyết định."
preview_013,000134_017_001,pair_013/ai_preview_v1.wav,pair_013/benchmark_preview_v1.wav,,,X,4.135,3.230769230769231,2.4897435897435893,6.666666666666666,5.653846153846153,3.5384615384615388,AI Preview,17,VỪA,AI nhỉnh hơn; content proxy khá nhưng timbre/naturalness thấp. Ưu tiên thay candidate nếu nghe không đạt.
preview_014,000125_031_001,pair_014/ai_preview_v1.wav,pair_014/benchmark_preview_v1.wav,,,X,4.57474358974359,3.876923076923077,4.910256410256411,5.589743589743589,4.807692307692308,5.871794871794871,AI Preview,14,VỪA,AI nhỉnh hơn Benchmark nhưng speaker similarity thấp. Nhóm ưu tiên thay.
